jurisdiction,year,ipcc_code,Product,ets,ets_id,ets_price,ets_curr_code,tax,tax_id,tax_rate_excl_ex_clcu,tax_curr_code,tax_ex_rate,tax_2,tax_2_id,tax_2_rate_excl_ex_clcu,tax_2_curr_code
Vanuatu,2000,1B1A21,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B1A22,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B1B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2A1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2A2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2A3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2A31,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2A32,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2A33,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2A34,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2A35,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2A36,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2B1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2B2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2B3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2B31,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2B32,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2B33,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2B34,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2B35,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B2B36,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1B3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1C,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1C1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1C1A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1C1B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1C1C,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1C2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1C2A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1C2B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,1C3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2A1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2A2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2A3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2A4,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2A4A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2A4B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2A4C,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2A4D,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B10,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B4,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B5,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B6,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B7,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B8,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B8A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B8B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B8C,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B8D,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B8E,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B8F,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B9,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B9A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2B9B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2C,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2C1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2C2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2C3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2C4,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2C5,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2C6,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2C7,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2D,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2D1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2D2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2D3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2D4,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2E,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2E1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2E2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2E3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2E4,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2E5,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2F,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2F1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2F2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2F3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2F4,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2F5,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2F6,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2G,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2G1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2G2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2G3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2G4,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2H,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2H1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2H2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,2H3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3A1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3A2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B1A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B1B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B2A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B2B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B3A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B3B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B4,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B4A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B4B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B5,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B5A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B5B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B6,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B6A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B6B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B6B1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B6B2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B6B3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B6B4,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3B6B5,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3C,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3C1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3C2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3C3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3C4,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3C5,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3C6,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3C7,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3C8,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3D,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3D1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,3D2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,4A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,4A1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,4A2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,4A3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,4B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,4C,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,4C1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,4C2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,4D,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,4D1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,4D2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,4E,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,5A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,5A1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2000,5A2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,0,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,4,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,5,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1A,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1A,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1A,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1A1,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1A1,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1A1,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1A2,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1A2,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1A2,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1A3,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1A3,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1A3,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1B,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1B,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1B,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1C,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1C,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A1C,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2A,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2A,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2A,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2B,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2B,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2B,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2C,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2C,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2C,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2D,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2D,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2D,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2E,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2E,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2E,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2F,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2F,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2F,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2G,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2G,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2G,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2H,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2H,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2H,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2I,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2I,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2I,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2J,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2J,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2J,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2K,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2K,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2K,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2L,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2L,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2L,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2M,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2M,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A2M,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3A,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3A,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3A,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3A1,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3A1,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3A1,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3A2,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3A2,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3A2,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3B,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3B,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3B,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3C,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3C,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3C,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3D,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3D,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3D,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3D1,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3D1,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3D1,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3D2,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3D2,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3D2,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3E,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3E,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3E,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3E1,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3E1,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A3E1,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4A,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4A,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4A,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4B,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4B,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4B,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4C,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4C,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4C,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4C1,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4C1,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4C1,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4C2,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4C2,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4C2,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4C3,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4C3,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A4C3,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A5,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A5,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A5,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A5A,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A5A,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A5A,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A5B,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A5B,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A5B,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A5C,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A5C,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1A5C,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B1A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B1A1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B1A11,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B1A12,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B1A13,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B1A14,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B1A2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B1A21,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B1A22,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B1B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2A1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2A2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2A3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2A31,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2A32,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2A33,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2A34,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2A35,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2A36,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2B1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2B2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2B3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2B31,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2B32,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2B33,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2B34,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2B35,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B2B36,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1B3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1C,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1C1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1C1A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1C1B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1C1C,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1C2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1C2A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1C2B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,1C3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2A1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2A2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2A3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2A4,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2A4A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2A4B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2A4C,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2A4D,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B10,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B4,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B5,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B6,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B7,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B8,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B8A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B8B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B8C,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B8D,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B8E,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B8F,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B9,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B9A,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2B9B,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2C,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2C1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2C2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2C3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2C4,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2C5,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2C6,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2C7,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2D,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2D1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2D2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2D3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2D4,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2E,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2E1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2E2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2E3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2E4,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2E5,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2F,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2F1,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2F2,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2F3,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2F4,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2F5,,0.0,,,,0.0,,,,,,,,
Vanuatu,2001,2F6,,0.0,,,,0.0,,,,,,,,
